company,effective_date,requested_pct,final_pct,range_low_pct,range_high_pct,products,status
Capital Advantage Assurance Company,2027-01-01,14.98,,11.09,22.86,1,Submission Filed
Geisinger Health Plan,2027-01-01,3.74,,0.16,15.44,2,Submission Filed
Geisinger Quality Options,2027-01-01,4.10,,-0.49,14.68,1,Submission Filed
Highmark Benefits Group Inc.,2027-01-01,16.73,,12.30,21.50,3,Submission Filed
Highmark Care Benefits Inc,2027-01-01,19.67,,0.00,23.84,5,Submission Filed
Highmark Coverage Advantage Inc.,2027-01-01,11.54,,8.38,13.59,2,Submission Filed
Highmark Inc.,2027-01-01,15.78,,0.00,20.80,6,Submission Filed
Highmark Senior Health Company,2027-01-01,13.96,,-0.34,22.20,10,Submission Filed
Independence Assurance Company,2027-01-01,8.89,,6.76,10.70,2,Submission Filed
Keystone Health Plan Central,2027-01-01,20.95,,20.95,20.95,1,Submission Filed
"Keystone Health Plan East, Inc",2027-01-01,6.48,,5.27,6.82,2,Submission Filed
UnitedHealthcare Insurance Company,2027-01-01,28.38,,22.98,32.04,2,Submission Filed
"UnitedHealthcare of Pennsylvania, Inc.",2027-01-01,23.29,,23.29,23.29,1,Submission Filed
"UPMC Health Benefits, Inc.",2027-01-01,12.10,,8.12,12.41,2,Submission Filed
"UPMC Health Network, Inc.",2027-01-01,11.05,,3.40,12.14,2,Submission Filed
"UPMC Health Plan, Inc.",2027-01-01,15.29,,13.99,17.06,1,Submission Filed
